existingchecking_A14,credithistory_A34,housing_A152,savings_A65,property_A121,otherinstallmentplans_A143,purpose_A43,employmentsince_A72,existingchecking_A12,property_A124,credithistory_A31,credithistory_A30,creditamount,savings_A61,duration,existingchecking_A11,classification
0,1,1,1,1,1,1,0,0,0,0,0,1169,0,6,1,1
0,0,1,0,1,1,1,0,1,0,0,0,5951,1,48,0,-1
1,1,1,0,1,1,0,0,0,0,0,0,2096,1,12,0,1
0,0,0,0,0,1,0,0,0,0,0,0,7882,1,42,1,1
0,0,0,0,0,1,0,0,0,1,0,0,4870,1,24,1,-1
1,0,0,1,0,1,0,0,0,1,0,0,9055,0,36,0,1
1,0,1,0,0,1,0,0,0,0,0,0,2835,0,24,0,1
0,0,0,0,0,1,0,0,1,0,0,0,6948,1,36,0,1
1,0,1,0,1,1,1,0,0,0,0,0,3059,0,12,0,1
0,1,1,0,0,1,0,0,1,0,0,0,5234,1,30,0,-1
0,0,0,0,0,1,0,1,1,0,0,0,1295,1,12,0,-1
0,0,0,0,0,1,0,1,0,0,0,0,4308,1,48,1,-1
0,0,1,0,0,1,1,0,1,0,0,0,1567,1,12,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1199,1,24,1,-1
0,0,0,0,0,1,0,0,0,0,0,0,1403,1,15,1,1
0,0,1,0,0,1,1,0,0,0,0,0,1282,0,24,1,-1
1,1,1,1,0,1,1,0,0,0,0,0,2424,0,24,0,1
0,0,1,1,0,0,0,1,0,0,0,1,8072,0,30,1,1
0,0,0,0,0,1,0,0,1,1,0,0,12579,1,24,0,-1
1,0,1,0,0,1,1,0,0,0,0,0,3430,0,24,0,1
1,1,1,0,0,1,0,0,0,0,0,0,2134,1,9,0,1
0,0,0,0,1,1,1,0,0,0,0,0,2647,0,6,1,1
0,1,0,0,1,1,0,1,0,0,0,0,2241,1,10,1,1
0,1,1,0,0,1,0,1,1,0,0,0,1804,0,12,0,1
1,1,1,1,0,1,0,0,0,0,0,0,2069,0,10,0,1
0,0,1,0,1,0,0,0,0,0,0,0,1374,1,6,1,1
1,0,1,0,0,1,1,0,0,0,0,1,426,1,6,0,1
0,0,0,0,1,1,1,0,0,0,1,0,409,0,12,0,1
0,0,1,0,1,1,1,0,1,0,0,0,2415,1,7,0,1
0,0,1,0,0,1,0,0,0,1,0,0,6836,1,60,1,-1
0,0,1,0,1,0,0,1,1,0,0,0,1913,0,18,0,1
0,0,1,0,0,0,0,0,0,0,0,0,4020,1,24,1,1
0,0,1,0,0,1,0,0,1,0,0,0,5866,0,18,0,1
1,1,0,1,0,1,0,0,0,1,0,0,1264,0,12,0,1
0,0,1,0,0,0,0,1,0,0,0,0,1474,1,12,0,1
0,1,1,0,0,1,1,1,1,0,0,0,4746,1,45,0,-1
1,1,0,0,0,0,0,0,0,1,0,0,6110,1,48,0,1
0,0,1,0,1,0,1,0,0,0,0,0,2100,1,18,0,-1
0,0,1,0,0,1,0,0,0,0,0,0,1225,1,10,0,1
0,0,1,0,1,1,1,0,1,0,0,0,458,1,9,0,1
1,0,1,0,0,0,1,0,0,0,0,0,2333,0,30,0,1
0,0,1,0,0,1,1,0,1,0,0,0,1158,0,12,0,1
0,0,1,0,1,1,0,0,1,0,0,0,6204,1,18,0,1
0,1,0,0,0,1,0,0,0,0,0,0,6187,0,30,1,1
0,1,0,0,0,0,0,0,0,1,0,0,6143,1,48,1,-1
1,1,1,0,0,1,0,1,0,0,0,0,1393,1,11,0,1
1,0,1,0,0,1,1,0,0,0,0,0,2299,0,36,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1352,0,6,1,1
1,1,1,0,0,1,0,0,0,0,0,0,7228,1,11,0,1
1,0,1,0,1,1,1,0,0,0,0,0,2073,0,12,0,1
0,0,1,1,0,0,0,1,1,0,0,0,2333,0,24,0,1
0,0,1,0,0,1,0,0,1,0,0,0,5965,1,27,0,1
1,0,1,0,0,1,1,0,0,0,0,0,1262,1,12,0,1
1,0,1,1,0,1,0,0,0,0,0,0,3378,0,18,0,1
0,0,0,0,0,0,0,0,1,1,0,0,2225,1,36,0,-1
1,0,1,1,1,0,0,0,0,0,1,0,783,0,6,0,1
0,0,1,1,0,1,1,0,1,1,0,0,6468,0,12,0,-1
1,1,1,0,0,0,1,0,0,0,0,0,9566,1,36,0,1
0,0,1,0,0,1,0,0,0,0,0,0,1961,1,18,0,1
0,1,0,0,0,1,0,1,0,1,0,0,6229,1,36,1,-1
0,0,1,0,1,0,0,0,1,0,0,0,1391,1,9,0,1
0,1,1,1,1,1,1,0,1,0,0,0,1537,0,15,0,1
0,0,0,0,0,1,0,0,1,1,0,1,1953,1,36,0,-1
0,0,1,0,0,1,0,0,1,0,0,1,14421,1,48,0,-1
1,0,1,0,0,1,1,1,0,0,0,0,3181,1,24,0,1
1,0,1,1,0,1,0,0,0,0,0,0,5190,0,27,0,1
1,0,1,0,0,0,1,1,0,0,0,0,2171,1,12,0,1
0,0,1,0,1,1,0,0,1,0,0,0,1007,0,12,0,1
1,0,0,0,0,0,0,0,0,1,0,0,1819,1,36,0,-1
1,0,1,1,0,1,1,0,0,0,0,0,2394,0,36,0,1
1,0,1,0,0,0,0,0,0,0,0,0,8133,1,36,0,1
1,1,0,1,0,1,1,0,0,0,0,0,730,0,7,0,1
0,1,0,0,0,0,0,0,0,1,0,0,1164,1,8,1,1
0,1,1,0,1,0,0,0,1,0,0,0,5954,1,42,0,1
0,0,1,1,0,1,0,0,0,1,0,0,1977,0,36,1,-1
0,1,0,0,0,1,0,0,0,1,0,0,1526,1,12,1,1
0,0,1,0,0,1,1,1,0,0,0,0,3965,1,42,1,-1
0,0,1,0,0,1,1,0,1,0,0,0,4771,1,11,0,1
1,0,1,1,0,1,0,0,0,0,0,1,9436,0,54,0,1
0,0,1,0,0,1,0,1,1,0,0,0,3832,1,30,0,1
1,0,1,1,0,1,1,1,0,0,0,0,5943,0,24,0,-1
1,0,1,0,0,0,1,0,0,0,0,0,1213,0,15,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1568,0,18,0,1
0,0,1,0,1,1,0,0,0,0,0,0,1755,1,24,1,1
0,0,1,0,1,1,1,0,0,0,0,0,2315,1,10,1,1
1,1,1,0,1,1,0,0,0,0,0,0,1412,1,12,0,1
0,1,1,0,0,1,0,1,1,0,0,0,1295,1,18,0,1
0,0,0,0,0,1,0,0,1,1,0,0,12612,0,36,0,-1
0,0,1,0,0,1,0,0,0,0,0,0,2249,0,18,1,1
0,0,1,0,1,1,0,0,0,0,0,1,1108,1,12,1,-1
1,1,1,0,1,1,1,0,0,0,0,0,618,1,12,0,1
0,1,1,0,1,1,0,0,0,0,0,0,1409,1,12,1,1
1,1,1,1,0,0,1,0,0,0,0,0,797,0,12,0,-1
0,1,0,1,0,1,0,0,0,1,0,0,3617,0,24,0,1
0,0,1,0,1,1,0,0,1,0,0,0,1318,0,12,0,1
0,0,0,0,0,1,0,1,1,1,0,1,15945,1,54,0,-1
1,1,1,1,0,1,0,0,0,0,0,0,2012,0,12,0,1
0,0,1,0,0,1,0,0,1,0,0,0,2622,0,18,0,1
0,1,1,0,1,1,1,0,1,0,0,0,2337,1,36,0,1
0,0,0,1,0,0,0,0,1,0,0,0,7057,0,20,0,1
1,0,0,0,1,1,0,0,0,0,0,0,1469,0,24,0,1
0,0,0,0,0,1,1,0,1,0,0,0,2323,1,36,0,1
1,0,1,0,1,1,1,0,0,0,0,0,932,1,6,0,1
0,1,0,0,0,1,0,0,1,0,0,0,1919,1,9,0,1
1,0,0,1,0,1,0,1,0,0,0,0,2445,0,12,0,1
0,1,1,0,0,1,0,0,1,0,0,0,11938,1,24,0,-1
1,0,1,0,0,0,0,0,0,1,1,0,6458,1,18,0,-1
0,0,1,0,0,1,0,0,1,0,0,0,6078,1,12,0,1
0,0,1,1,0,1,0,1,0,0,0,0,7721,0,24,1,1
0,0,1,0,1,1,0,0,1,0,0,0,1410,0,14,0,1
0,0,1,0,0,0,0,0,1,0,0,0,1449,0,6,0,1
0,0,0,0,0,1,0,1,0,0,0,0,392,1,15,0,1
0,0,0,0,1,1,0,0,1,0,0,0,6260,1,18,0,1
1,1,1,0,1,0,0,0,0,0,0,0,7855,1,36,0,-1
0,0,1,0,1,1,1,0,0,0,0,0,1680,0,12,1,1
1,1,1,1,1,1,1,0,0,0,0,0,3578,0,48,0,1
0,0,1,1,0,1,1,0,0,0,0,0,7174,0,42,1,-1
0,1,0,1,1,1,0,1,0,0,0,0,2132,0,10,1,1
0,1,1,0,0,1,0,0,0,0,0,0,4281,0,33,1,-1
0,1,1,0,0,1,0,0,1,0,0,0,2366,0,12,0,1
0,0,1,0,1,1,1,0,0,0,0,0,1835,1,21,1,-1
1,1,0,0,0,1,0,0,0,0,0,0,3868,1,24,0,1
1,0,0,0,1,1,0,0,0,0,0,0,1768,1,12,0,1
0,1,0,0,0,1,0,0,0,1,0,0,781,1,10,0,1
0,0,0,1,1,1,0,1,1,0,0,0,1924,0,18,0,-1
0,1,1,0,0,1,0,0,0,0,0,0,2121,1,12,1,1
0,0,1,0,1,1,1,0,0,0,0,0,701,1,12,1,1
0,0,1,0,0,1,0,0,1,0,0,0,639,1,12,0,-1
0,1,1,0,0,1,0,0,1,0,0,0,1860,1,12,0,1
0,1,1,0,1,1,0,0,0,0,0,0,3499,1,12,1,-1
0,0,1,1,0,1,0,0,1,0,0,0,8487,0,48,0,1
0,0,1,0,0,0,0,0,0,0,0,0,6887,1,36,1,-1
1,0,1,0,0,0,0,1,0,0,0,0,2708,1,15,0,1
1,0,0,0,0,0,0,0,0,1,0,0,1984,1,18,0,1
1,0,1,0,1,1,1,0,0,0,0,0,10144,0,60,0,1
1,1,1,1,1,1,1,0,0,0,0,0,1240,0,12,0,1
1,0,1,0,0,1,0,0,0,0,0,0,8613,0,27,0,1
0,0,1,0,1,1,1,0,1,0,0,0,766,0,12,0,-1
0,1,1,1,1,0,1,0,1,0,0,0,2728,0,15,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1881,1,12,0,1
0,0,1,0,1,1,0,1,0,0,0,0,709,0,6,0,1
0,0,1,0,0,1,1,1,1,1,0,0,4795,1,36,0,1
0,0,1,0,0,1,1,0,0,0,0,0,3416,1,27,1,1
0,0,1,0,0,1,0,0,0,0,0,0,2462,1,18,1,-1
1,1,1,0,0,1,0,1,0,0,0,0,2288,1,21,0,1
0,0,1,0,0,1,0,0,1,0,1,0,3566,0,48,0,1
0,1,1,0,0,1,0,0,0,1,0,0,860,1,6,1,1
1,1,1,0,0,1,0,0,0,0,0,0,682,0,12,0,1
0,1,1,0,0,1,0,0,0,0,0,0,5371,1,36,1,1
1,1,1,0,0,1,1,0,0,0,0,0,1582,0,18,0,1
1,0,0,0,0,0,1,0,0,1,0,0,1346,0,6,0,1
1,0,1,0,0,1,1,0,0,0,0,0,1924,1,10,0,1
0,0,1,0,0,1,1,0,0,0,0,0,5848,1,36,0,1
0,1,0,0,0,1,0,0,1,1,0,0,7758,0,24,0,1
0,0,0,0,0,1,0,0,1,0,0,0,6967,0,24,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1282,1,12,1,-1
0,1,1,0,1,1,0,0,0,0,0,0,1288,0,9,1,1
0,0,1,0,0,0,0,0,0,0,1,0,339,1,12,1,1
0,0,1,0,0,0,0,0,1,0,0,0,3512,0,24,0,1
1,1,1,1,1,1,1,0,0,0,0,0,1898,0,6,0,1
1,1,1,0,1,1,1,0,0,0,0,0,2872,0,24,0,1
1,1,1,0,0,1,0,1,0,0,0,0,1055,1,18,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1262,0,15,0,1
0,0,0,0,0,0,0,0,1,1,0,0,7308,1,10,0,1
1,0,1,0,0,1,0,0,0,0,0,0,909,0,36,0,1
1,0,1,0,0,1,0,0,0,0,0,0,2978,0,6,0,1
0,0,1,0,0,1,0,0,0,0,0,0,1131,1,18,1,-1
0,0,1,0,1,1,0,1,1,0,0,0,1577,0,11,0,1
1,0,0,0,0,1,0,0,0,0,0,0,3972,1,24,0,1
0,1,1,0,1,1,0,0,1,0,0,0,1935,1,24,0,-1
0,0,0,0,0,1,0,0,0,0,0,1,950,1,15,1,-1
1,0,1,0,1,1,0,0,0,0,0,0,763,1,12,0,1
0,0,1,0,0,1,0,0,1,0,0,0,2064,1,24,0,-1
0,0,1,0,1,1,1,0,1,0,0,0,1414,1,8,0,1
0,0,1,0,0,1,0,1,0,0,0,0,3414,1,21,1,-1
1,0,1,1,1,0,0,0,0,0,1,0,7485,0,30,0,-1
0,0,1,0,0,1,0,0,0,0,0,0,2577,1,12,1,1
0,1,1,0,0,1,1,0,0,0,0,0,338,0,6,1,1
1,0,0,0,0,1,1,0,0,0,0,0,1963,1,12,0,1
0,1,1,0,1,1,0,0,0,0,0,0,571,1,21,1,1
1,0,1,0,0,1,0,1,0,0,0,0,9572,1,36,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,4455,1,36,0,-1
0,0,1,1,0,1,0,0,0,0,1,0,1647,0,21,1,-1
1,1,1,0,1,1,0,0,0,0,0,0,3777,0,24,0,1
0,1,1,0,0,0,0,0,1,0,0,0,884,1,18,0,-1
1,1,1,0,0,1,1,0,0,0,0,0,1360,1,15,0,1
0,0,0,0,0,0,0,0,1,1,1,0,5129,1,9,0,-1
0,1,0,0,0,1,0,0,1,0,0,0,1175,1,16,0,1
0,0,1,0,0,1,1,0,0,0,0,0,674,0,12,1,-1
0,0,1,0,0,0,0,0,1,0,0,1,3244,1,18,0,1
1,0,1,0,0,1,0,0,0,0,0,0,4591,0,24,0,-1
0,0,0,0,0,1,0,0,1,1,0,1,3844,0,48,0,-1
0,0,1,0,0,1,0,0,1,0,0,0,3915,1,27,0,-1
1,0,0,0,1,1,1,0,0,0,0,0,2108,1,6,0,1
0,0,0,0,0,1,1,0,1,0,0,0,3031,0,45,0,-1
0,1,1,0,0,1,0,0,1,0,0,0,1501,1,9,0,-1
1,1,1,0,0,1,1,0,0,0,0,0,1382,1,6,0,1
0,0,0,0,0,0,0,1,1,0,0,0,951,0,12,0,-1
0,0,0,1,0,0,0,0,1,1,0,0,2760,0,24,0,1
0,0,1,0,0,1,0,0,1,1,0,0,4297,1,18,0,-1
1,1,1,0,0,1,0,0,0,0,0,0,936,0,9,0,1
0,0,1,0,1,1,0,0,0,0,0,0,1168,1,12,1,1
1,0,1,0,0,1,0,0,0,0,0,0,5117,1,27,0,1
0,0,0,0,0,1,0,0,0,0,0,0,902,1,12,1,-1
1,1,1,0,1,1,0,0,0,0,0,0,1495,1,12,0,1
0,1,0,0,0,1,0,0,0,1,0,0,10623,1,30,1,1
1,1,1,0,1,1,0,0,0,0,0,0,1935,1,12,0,1
0,1,1,0,0,1,0,0,1,0,0,0,1424,1,12,0,1
0,0,1,0,0,0,0,0,0,0,0,0,6568,1,24,1,1
1,0,1,0,0,1,0,0,0,0,0,0,1413,0,12,0,1
1,1,1,1,1,1,1,0,0,0,0,0,3074,0,9,0,1
1,0,1,1,1,1,1,0,0,0,0,0,3835,0,36,0,1
0,0,1,0,0,0,0,0,0,0,0,1,5293,1,27,1,-1
0,0,1,0,1,1,0,0,0,0,0,0,1908,1,30,0,-1
1,1,1,1,0,1,1,0,0,0,0,0,3342,0,36,0,1
0,1,1,1,0,1,0,0,1,0,0,0,932,0,6,0,1
0,0,1,0,0,0,0,0,0,0,0,1,3104,1,18,1,1
0,0,1,0,1,1,1,0,0,0,0,0,3913,1,36,0,1
0,0,0,0,1,1,0,0,0,0,0,0,3021,1,24,1,1
1,0,1,0,0,1,0,0,0,0,0,0,1364,1,10,0,1
0,0,1,0,1,0,1,1,1,0,0,0,625,1,12,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1200,0,12,1,1
1,0,1,0,1,0,1,0,0,0,0,0,707,1,12,0,1
1,0,1,1,1,1,0,0,0,0,0,0,2978,0,24,0,1
1,0,1,0,0,1,0,0,0,0,0,0,4657,1,15,0,1
1,0,1,0,0,1,0,0,0,0,0,1,2613,1,36,0,1
0,0,1,0,0,0,1,0,1,1,0,0,10961,0,48,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,7865,1,12,1,-1
1,0,1,0,0,1,1,0,0,0,0,0,1478,1,9,0,-1
0,0,0,0,0,0,0,1,0,1,0,0,3149,1,24,1,1
0,0,1,0,0,1,1,0,0,0,0,0,4210,1,36,0,-1
1,0,0,0,0,1,0,0,0,1,0,0,2507,0,9,0,1
1,0,1,0,0,1,1,0,0,1,0,0,2141,0,12,0,1
0,0,1,0,1,1,1,0,1,0,0,0,866,1,18,0,1
1,1,1,0,1,1,1,0,0,0,0,0,1544,1,4,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1823,1,24,1,-1
0,0,1,1,0,1,0,0,1,0,0,0,14555,0,6,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,2767,0,21,0,-1
1,1,1,0,0,1,1,0,0,0,0,0,1291,1,12,0,1
0,0,1,0,0,1,1,0,0,0,0,0,2522,1,30,1,1
0,0,1,1,0,0,0,0,0,0,0,0,915,0,24,1,-1
1,0,1,0,0,1,1,0,0,0,0,0,1595,1,6,0,1
0,0,0,0,0,1,0,0,0,1,0,1,4605,1,48,1,-1
1,1,1,0,1,1,0,0,0,0,0,0,1185,1,12,0,1
1,0,1,0,1,1,0,0,0,0,1,0,3447,0,12,0,1
1,0,1,0,1,1,0,0,0,0,0,0,1258,1,24,0,1
1,1,1,0,1,1,1,0,0,0,0,0,717,1,12,0,1
1,0,0,0,0,0,0,0,0,1,0,1,1204,0,6,0,1
0,0,1,0,1,1,0,0,0,0,0,0,1925,1,24,0,1
1,0,0,0,1,1,1,0,0,0,0,0,433,1,18,0,-1
0,1,1,0,1,1,0,0,0,0,0,0,666,0,6,1,1
0,0,1,0,0,1,0,0,0,0,0,0,2251,1,12,0,1
0,0,1,0,0,0,0,0,1,1,0,0,2150,1,30,0,-1
1,0,1,0,0,1,0,0,0,0,0,0,4151,0,24,0,1
0,0,1,1,0,1,0,0,1,0,0,0,2030,0,9,0,1
0,0,1,1,1,1,1,0,1,0,0,0,7418,0,60,0,1
1,1,1,0,1,1,1,0,0,0,0,0,2684,1,24,0,1
0,0,0,0,0,1,1,0,0,1,1,0,2149,1,12,1,-1
1,0,1,0,0,1,0,1,0,0,0,0,3812,0,15,0,1
1,1,1,0,1,1,1,0,0,0,0,0,1154,0,11,0,1
0,0,1,0,1,1,0,0,0,0,0,0,1657,1,12,1,1
0,0,1,0,0,1,1,0,0,0,0,0,1603,1,24,1,1
0,1,0,0,0,1,0,0,0,1,0,0,5302,1,18,1,1
1,1,0,0,0,0,0,0,0,1,0,0,2748,1,12,0,1
1,1,1,0,1,1,0,0,0,0,0,0,1231,1,10,0,1
0,0,1,0,0,1,1,0,1,0,0,0,802,1,15,0,-1
1,1,1,1,1,1,0,0,0,0,0,0,6304,0,36,0,1
1,0,1,0,0,0,1,1,0,0,0,0,1533,1,24,0,1
0,0,1,0,0,1,0,0,0,0,0,0,8978,1,14,1,-1
1,0,1,1,0,1,1,0,0,0,0,0,999,0,24,0,1
1,0,1,1,0,1,0,0,0,0,0,0,2662,0,18,0,1
1,1,0,0,0,1,0,0,0,0,0,0,1402,0,12,0,1
0,0,0,1,0,1,0,0,1,1,1,0,12169,0,48,0,1
0,0,1,0,1,1,1,0,1,0,0,0,3060,1,48,0,-1
0,0,1,0,0,1,0,1,0,1,0,0,11998,1,30,1,-1
1,0,1,0,1,1,1,0,0,0,0,0,2697,1,9,0,1
1,1,1,0,0,1,1,0,0,0,0,0,2404,1,18,0,1
0,0,1,1,0,1,0,0,0,0,0,0,1262,0,12,1,1
1,0,1,0,0,1,0,1,0,0,0,0,4611,1,6,0,-1
1,0,0,0,0,1,1,0,0,0,0,0,1901,0,24,0,1
1,1,0,0,0,1,0,0,0,1,0,0,3368,0,15,0,1
1,0,1,0,1,1,0,0,0,0,0,0,1574,1,12,0,1
0,0,1,1,0,0,1,0,0,0,1,0,1445,0,18,0,1
1,1,1,1,0,1,0,0,0,0,0,0,1520,0,15,0,1
0,1,1,0,0,1,0,1,1,0,0,0,3878,0,24,0,1
0,0,1,0,1,1,0,1,0,0,0,0,10722,1,47,1,1
0,0,1,0,0,1,0,0,0,0,0,0,4788,1,48,1,1
0,0,0,0,0,1,0,0,1,1,0,0,7582,0,48,0,1
0,0,1,0,1,1,1,0,1,0,0,0,1092,1,12,0,1
0,0,1,0,1,0,1,1,0,0,0,0,1024,1,24,1,-1
1,0,1,0,1,1,0,0,0,0,0,0,1076,1,12,0,1
0,0,0,0,0,1,0,1,1,0,0,0,9398,1,36,0,-1
0,1,0,0,0,1,0,0,0,1,0,0,6419,1,24,1,1
0,1,0,0,0,1,0,0,0,1,0,0,4796,1,42,0,1
1,1,1,1,0,0,0,0,0,0,0,0,7629,0,48,0,1
0,0,1,0,0,1,0,1,1,0,0,0,9960,1,48,0,-1
1,0,0,1,0,1,0,1,0,0,0,0,4675,0,12,0,1
1,0,1,1,0,1,0,0,0,0,0,0,1287,0,10,0,1
1,0,1,0,1,1,0,0,0,0,0,0,2515,1,18,0,1
0,1,1,0,0,1,0,0,1,0,0,0,2745,0,21,0,1
1,0,1,0,1,1,0,0,0,0,0,0,672,1,6,0,1
0,0,1,0,0,1,1,0,1,0,0,1,3804,1,36,0,-1
0,1,1,1,1,0,0,0,0,0,0,0,1344,0,24,0,-1
0,1,1,0,0,1,0,0,0,0,0,0,1038,1,10,1,1
1,1,0,0,0,0,0,0,0,1,0,0,10127,0,48,0,-1
1,0,1,0,1,1,0,0,0,0,0,0,1543,0,6,0,1
1,0,0,1,0,0,0,0,0,0,0,0,4811,0,30,0,1
0,0,1,0,0,1,1,1,0,1,0,0,727,0,12,1,-1
0,0,1,0,1,1,0,0,1,0,0,0,1237,1,8,0,-1
0,0,0,0,1,1,0,0,1,0,0,0,276,1,9,0,1
0,0,0,1,0,0,0,0,1,1,0,0,5381,0,48,0,1
1,0,1,0,0,0,0,0,0,0,0,0,5511,0,24,0,1
0,0,1,0,0,1,0,1,0,0,0,0,3749,1,24,0,1
0,0,1,0,0,0,0,0,1,0,0,0,685,1,12,0,-1
0,0,1,1,1,1,0,1,0,0,0,0,1494,0,4,0,1
0,0,1,0,0,0,0,0,0,0,1,0,2746,1,36,1,-1
0,0,1,0,0,1,0,0,0,0,0,0,708,1,12,1,1
0,0,1,1,0,1,0,0,1,0,0,0,4351,0,24,0,1
1,1,1,0,0,1,0,0,0,0,0,0,701,1,12,0,1
0,0,1,0,0,1,0,0,0,0,0,0,3643,1,15,1,1
0,1,1,0,0,1,0,0,1,0,0,0,4249,1,30,0,-1
0,0,1,0,0,1,1,1,0,0,0,0,1938,1,24,1,-1
0,0,0,0,0,1,0,0,0,1,0,0,2910,1,24,1,1
0,0,1,0,0,1,0,0,0,0,0,0,2659,0,18,1,1
1,1,1,0,1,1,0,0,0,0,0,0,1028,1,18,0,1
0,1,1,0,1,1,0,0,0,0,0,0,3398,1,8,1,1
1,1,0,1,0,1,0,0,0,0,0,0,5801,0,12,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1525,0,24,0,1
